f/Hz,U/V
738.58503,5.2
739.81806,6.4
741.05109,11.2
742.28412,16.4
743.51715,17.2
744.75018,11.2
745.98321,0
747.21624,0
748.44927,5.2
749.6823,8
750.91533,0
752.14836,0
753.38139,0
754.61442,6
755.84745,12.4
757.08048,15.2
758.31351,14.8
759.54654,10.4
760.77957,3.2
762.0126,8
763.24563,5.2
764.47866,1.2
765.71169,1.2
766.94472,0
768.17775,4
769.41078,5.2
770.64381,7.2
771.87684,15.2
773.10987,18
774.3429,18.8
775.57593,24.4
776.80896,25.2
778.04199,20
779.27502,9.6
780.50805,13.2
781.74108,8
782.97411,12
784.20714,13.2
785.44017,11.2
786.6732,10
787.90623,8.8
789.13926,6.4
790.37229,1.2
791.60532,9.2
792.83835,10
794.07138,0
795.30441,4
796.53744,0
797.77047,7.2
799.0035,10.4
800.23653,4
801.46956,0
802.70259,8.8
803.93562,3.2
805.16865,0
806.40168,5.2
807.63471,12
808.86774,16.4
810.10077,14.4
811.3338,8
812.56683,23.2
813.79986,32.4
815.03289,38.4
816.26592,40
817.49895,36.8
818.73198,24
819.96501,26.8
821.19804,24.8
822.43107,16.8
823.6641,11.2
824.89713,15.2
826.13016,14.4
827.36319,4
828.59622,12
829.82925,3.6
831.06228,0
832.29531,7.2
833.52834,16.4
834.76137,25.6
835.9944,27.2
837.22743,19.2
838.46046,1.2
839.69349,9.2
840.92652,3.6
842.15955,5.2
843.39258,0
844.62561,8
845.85864,9.6
847.09167,0
848.3247,0
849.55773,6
850.79076,8
852.02379,4
853.25682,3.2
854.48985,0
855.72288,7.2
856.95591,8
858.18894,7.2
859.42197,9.2
860.655,8
861.88803,5.2
863.12106,3.6
864.35409,8.8
865.58712,10
866.82015,6
868.05318,0
869.28621,6
870.51924,1.2
871.75227,8
872.9853,12
874.21833,6.4
875.45136,8
876.68439,11.2
877.91742,4
879.15045,8
880.38348,11.2
881.61651,3.6
882.84954,0
884.08257,8
885.3156,8
886.54863,1.2
887.78166,3.2
889.01469,14
890.24772,16.4
891.48075,21.2
892.71378,27.2
893.94681,25.6
895.17984,12
896.41287,12.8
897.6459,4
898.87893,15.2
900.11196,12.4
901.34499,0
902.57802,4
903.81105,11.2
905.04408,15.2
906.27711,11.2
907.51014,0
908.74317,9.6
909.9762,12
911.20923,14.8
912.44226,15.6
913.67529,12.8
914.90832,0
916.14135,4
917.37438,0
918.60741,0
919.84044,0
921.07347,7.2
922.3065,0
923.53953,0
924.77256,0
926.00559,8.8
927.23862,18.8
928.47165,26
929.70468,24.4
930.93771,28.8
932.17074,35.2
933.40377,34.4
934.6368,29.2
935.86983,27.2
937.10286,23.6
938.33589,18.8
939.56892,8
940.80195,10
942.03498,15.2
943.26801,16
944.50104,9.6
945.73407,3.6
946.9671,6
948.20013,12
949.43316,17.6
950.66619,26
951.89922,30.8
953.13225,26.8
954.36528,20
955.59831,16
956.83134,3.2
958.06437,4
959.2974,4
960.53043,0
961.76346,6.4
962.99649,7.2
964.22952,1.2
965.46255,4
966.69558,8
967.92861,4
969.16164,8
970.39467,6.4
971.6277,8
972.86073,1.2
974.09376,9.2
975.32679,16.8
976.55982,14
977.79285,9.2
979.02588,9.6
980.25891,8
981.49194,8
982.72497,10.4
983.958,6
985.19103,6.4
986.42406,5.2
987.65709,8
988.89012,9.6
990.12315,13.6
991.35618,11.6
992.58921,0
993.82224,0
995.05527,1.2
996.2883,4
997.52133,5.2
998.75436,0
999.98739,0
1001.22042,4
1002.45345,12
1003.68648,10
1004.91951,17.2
1006.15254,14
1007.38557,14
1008.6186,21.6
1009.85163,28.4
1011.08466,28.8
1012.31769,22.8
1013.55072,14
1014.78375,12
1016.01678,14.8
1017.24981,9.6
1018.48284,5.2
1019.71587,9.6
1020.9489,8
1022.18193,10
1023.41496,5.2
1024.64799,8
1025.88102,8
1027.11405,4
1028.34708,10
1029.58011,11.2
1030.81314,7.2
1032.04617,6.4
1033.2792,9.6
1034.51223,9.6
1035.74526,0
1036.97829,10
1038.21132,9.6
1039.44435,1.2
1040.67738,7.2
1041.91041,8
1043.14344,14.4
1044.37647,18.8
1045.6095,23.2
1046.84253,27.2
1048.07556,30
1049.30859,30
1050.54162,24.8
1051.77465,28.8
1053.00768,25.6
1054.24071,22.4
1055.47374,18
1056.70677,10.4
1057.9398,11.6
1059.17283,7.2
1060.40586,7.2
1061.63889,5.2
1062.87192,1.2
1064.10495,7.2
1065.33798,13.2
1066.57101,22
1067.80404,28.4
1069.03707,27.2
1070.2701,20
1071.50313,14.8
1072.73616,3.2
1073.96919,8.8
1075.20222,0
1076.43525,5.2
1077.66828,4
1078.90131,8.8
1080.13434,6
1081.36737,7.2
1082.6004,6.4
1083.83343,1.2
1085.06646,8.8
1086.29949,11.2
1087.53252,14.4
1088.76555,11.2
1089.99858,0
1091.23161,8
1092.46464,7.2
1093.69767,6
1094.9307,4
1096.16373,1.2
1097.39676,3.2
1098.62979,5.2
1099.86282,6
1101.09585,5.2
1102.32888,6.4
1103.56191,11.2
1104.79494,16.4
1106.02797,21.6
1107.261,24
1108.49403,22
1109.72706,15.6
1110.96009,9.2
1112.19312,3.6
1113.42615,9.2
1114.65918,10.8
1115.89221,10.8
1117.12524,3.2
1118.35827,1.2
1119.5913,12
1120.82433,16.8
1122.05736,16.8
1123.29039,22
1124.52342,18.8
1125.75645,25.2
1126.98948,27.6
1128.22251,26.8
1129.45554,16
1130.68857,15.2
1131.9216,12.4
1133.15463,11.2
1134.38766,13.2
1135.62069,10.4
1136.85372,3.2
1138.08675,1.2
1139.31978,1.2
1140.55281,1.2
1141.78584,7.2
1143.01887,9.2
1144.2519,0
1145.48493,6
1146.71796,9.6
1147.95099,8.8
1149.18402,6.4
1150.41705,4
1151.65008,0
1152.88311,3.6
1154.11614,4
1155.34917,3.6
1156.5822,10.8
1157.81523,13.2
1159.04826,6.4
1160.28129,0
1161.51432,20
1162.74735,24
1163.98038,25.6
1165.21341,23.2
1166.44644,22
1167.67947,23.6
1168.9125,20.8
1170.14553,22.4
1171.37856,16.8
1172.61159,13.2
1173.84462,1.2
1175.07765,0
1176.31068,0
1177.54371,5.2
1178.77674,6.4
1180.00977,1.2
1181.2428,0
1182.47583,8
1183.70886,13.2
1184.94189,16.4
1186.17492,15.2
1187.40795,11.2
1188.64098,4
1189.87401,3.6
1191.10704,0
1192.34007,5.2
1193.5731,4
1194.80613,4
1196.03916,1.2
1197.27219,0
1198.50522,3.6
1199.73825,5.2
1200.97128,3.6
1202.20431,7.2
1203.43734,0
1204.67037,5.2
1205.9034,6
1207.13643,8
1208.36946,9.6
1209.60249,13.2
1210.83552,11.6
1212.06855,4
1213.30158,4
1214.53461,5.2
1215.76764,0
1217.00067,6.4
1218.2337,5.2
1219.46673,6.4
1220.69976,11.2
1221.93279,18
1223.16582,20.4
1224.39885,19.6
1225.63188,11.2
1226.86491,8.8
1228.09794,9.6
1229.33097,8
1230.564,7.2
1231.79703,12.8
1233.03006,12.4
1234.26309,0
1235.49612,4
1236.72915,8
1237.96218,14.8
1239.19521,20
1240.42824,11.2
1241.66127,19.6
1242.8943,18.8
1244.12733,19.2
1245.36036,7.2
1246.59339,22
1247.82642,19.2
1249.05945,9.2
1250.29248,8
1251.52551,7.2
1252.75854,5.2
1253.99157,7.2
1255.2246,0
1256.45763,4
1257.69066,3.2
1258.92369,9.2
1260.15672,7.2
1261.38975,5.2
