f/Hz,U/V
1012.31769,19.2
1013.55072,26.4
1014.78375,30.8
1016.01678,25.2
1017.24981,22.8
1018.48284,31.6
1019.71587,34
1020.9489,26.8
1022.18193,32.4
1023.41496,33.6
1024.64799,30
1025.88102,32.4
1027.11405,39.6
1028.34708,42.8
1029.58011,42.8
1030.81314,41.2
1032.04617,33.6
1033.2792,17.6
1034.51223,25.2
1035.74526,26.4
1036.97829,28.4
1038.21132,28
1039.44435,22
1040.67738,22.8
1041.91041,26.4
1043.14344,28
1044.37647,28
1045.6095,25.6
1046.84253,22
1048.07556,18.4
1049.30859,16.4
1050.54162,13.6
1051.77465,10.8
1053.00768,14.4
1054.24071,9.6
1055.47374,15.6
1056.70677,16
1057.9398,12.4
1059.17283,6.4
1060.40586,12
1061.63889,13.6
1062.87192,13.6
1064.10495,13.6
1065.33798,5.6
1066.57101,6.4
1067.80404,13.6
1069.03707,15.6
1070.2701,13.6
1071.50313,25.2
1072.73616,30.4
1073.96919,30.4
1075.20222,28.8
1076.43525,20.4
1077.66828,6.4
1078.90131,6.4
1080.13434,6.4
1081.36737,8.4
1082.6004,10.8
1083.83343,10.8
1085.06646,5.6
1086.29949,9.6
1087.53252,13.6
1088.76555,13.6
1089.99858,6.4
1091.23161,0
1092.46464,0
1093.69767,6.4
1094.9307,8.4
1096.16373,13.6
1097.39676,12
1098.62979,11.6
1099.86282,13.6
1101.09585,12.4
1102.32888,10.8
1103.56191,9.6
1104.79494,6.4
1106.02797,12.4
1107.261,13.6
1108.49403,15.6
1109.72706,12
1110.96009,15.6
1112.19312,18.4
1113.42615,19.6
1114.65918,21.2
1115.89221,17.2
1117.12524,2.4
1118.35827,5.6
1119.5913,12
1120.82433,12
1122.05736,15.6
1123.29039,16.8
1124.52342,14.8
1125.75645,15.2
1126.98948,13.6
1128.22251,14.8
1129.45554,16
1130.68857,13.6
1131.9216,11.6
1133.15463,2.4
1134.38766,16
1135.62069,19.2
1136.85372,18.8
1138.08675,19.2
1139.31978,16.4
1140.55281,15.6
1141.78584,18.8
1143.01887,21.2
1144.2519,19.6
1145.48493,15.6
1146.71796,14.8
1147.95099,23.6
1149.18402,24
1150.41705,24
1151.65008,23.6
1152.88311,19.6
1154.11614,6.4
1155.34917,29.2
1156.5822,30.8
1157.81523,32
1159.04826,34
1160.28129,32.4
1161.51432,30.4
1162.74735,29.6
1163.98038,30.8
1165.21341,32.4
1166.44644,30.4
1167.67947,23.6
1168.9125,20
1170.14553,30
1171.37856,32.4
1172.61159,32
1173.84462,29.2
1175.07765,24.8
1176.31068,24
1177.54371,24.8
1178.77674,21.6
1180.00977,23.2
1181.2428,23.2
1182.47583,18
1183.70886,24.8
1184.94189,22
1186.17492,30
1187.40795,31.6
1188.64098,30.8
1189.87401,30.4
1191.10704,32
1192.34007,26.4
1193.5731,26.8
1194.80613,29.6
1196.03916,29.6
1197.27219,32.4
1198.50522,28.8
1199.73825,14
1200.97128,9.6
1202.20431,28.4
1203.43734,30.8
1204.67037,27.6
1205.9034,17.6
1207.13643,27.6
1208.36946,30.8
1209.60249,29.6
1210.83552,25.6
1212.06855,19.6
1213.30158,14.4
1214.53461,9.2
1215.76764,13.6
1217.00067,16
1218.2337,8.4
1219.46673,9.2
1220.69976,9.6
1221.93279,16.4
1223.16582,18
1224.39885,16.4
1225.63188,16.8
1226.86491,15.2
1228.09794,12.4
1229.33097,12.4
1230.564,12.4
1231.79703,15.6
1233.03006,13.6
1234.26309,5.6
1235.49612,0
1236.72915,0
1237.96218,6.4
1239.19521,0
1240.42824,9.2
1241.66127,12
1242.8943,11.6
1244.12733,16.4
1245.36036,19.2
1246.59339,18
1247.82642,16
1249.05945,8.4
1250.29248,9.6
1251.52551,2.4
1252.75854,0
1253.99157,10.8
1255.2246,8.4
1256.45763,6.4
1257.69066,5.6
1258.92369,8.4
1260.15672,10.8
1261.38975,6.4
